Title,Genre,Ratings,Vote_Counts,Runtime
12 Million Dollar Movie on Paper,western,6.1,41,91
A Cowboy Against Thunder,western,6.1,41,91
Adiós al amigo,western,7.7,9,118
Andromeda: 1883,western,4.0,19,75
Astral Plane Drifter,western,8.7,24,91
Attack on Tranquility,western,6.1,41,64
Bitter Gold,western,8.0,59,83
Bo Nan Za,western,9.1,29,61
Bolero,western,3.1,29,91
Boot Hill,western,6.1,41,91
Buffalo Kids,western,6.6,778,93
Bullet or Rope,western,6.1,41,91
Buried on Shine Mountain,western,8.8,10,91
Calamity Jane,western,4.4,812,95
Coyote Woman,western,2.1,78,110
Dans l'ombre de Marlow,western,6.1,41,80
Death After Dusk,western,5.6,92,140
Doc Holliday 2,western,6.1,12,91
Doc Holliday 3,western,5.0,10,91
El Vaquero,western,8.4,13,93
Escanyapobres,western,6.3,92,102
Eye for an Eye 2,western,6.6,554,90
Fyre Rises,western,6.1,327,110
Ghost Town,western,6.1,41,91
Ghosts of Red Ridge,western,3.2,182,81
Goin' Home,western,6.1,41,91
Golden Kamuy,western,6.3,27,127
Guns Blazin,western,7.1,10,88
Harsh Treatment,western,8.3,16,91
Hinter dem Eisernen Horizont,western,7.5,17,88
Horizon: An American Saga - Chapter 1,western,6.6,41,181
Horizon: An American Saga - Chapter 2,western,7.1,14,190
In Search of Bass Reeves,western,6.1,59,105
Jama,western,6.0,18,71
Joe Crist,western,4.7,485,91
Lady Outlaw,western,6.5,25,104
Last Flamingo of the Red Summer Sunset,western,8.8,14,80
Lolo & Sosaku: The Western Archive,western,6.1,41,66
Malaikottai Vaaliban,western,6.0,42,156
Morningstar,western,6.1,41,84
Mr. Pettigrew,western,6.1,41,91
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,western,5.9,11,74
Myall Creek Day of Justice,western,6.4,17,78
Oltre il confine,western,6.4,10,76
Once Upon a Time in Amityville,western,3.7,53,73
Outlaw Posse,western,4.3,545,108
Over the Red River,western,3.6,96,83
Pale Moon,western,6.1,41,91
Paradise,western,6.9,83,83
Pedro Páramo,western,6.3,31,130
Rust,western,5.4,27,139
Same Old West,western,7.7,342,98
Searching for the Elephant,western,5.8,36,116
Seven Cemeteries,western,4.6,668,84
Sinners in the Hands of an Angry God,western,6.1,41,94
TV Heroes of the Wild West,western,6.1,41,91
Taken from Rio Bravo,western,3.0,329,80
The Ballad of Winchester Pete,western,6.1,41,91
The Cowboy Capital,western,6.1,41,91
The Dakota War: Attack on Fort Ridgely,western,6.1,41,80
The Dakota War: Revenge,western,6.1,41,92
The Ecstasy of Gold: The Treasure of Jesse James,western,6.1,17,90
The Film Café,western,6.1,41,91
The Golden Ghosts,western,6.1,41,60
"The Goods, Bads and Uglys",western,6.1,41,91
The Guardsmen,western,3.5,142,73
The Guardsmen: Part 2,western,3.6,87,91
The Guardsmen: Part 3,western,3.3,86,91
The Legacy of the 12 Westerns,western,6.1,41,91
The Letter,western,6.1,41,91
The Night They Came Home,western,3.6,445,105
The Partners,western,6.1,41,91
The Rattlesnake Twins,western,6.1,41,91
The Stand at Alder Creek,western,6.1,41,91
The Thicket,western,5.8,36,108
The Unholy Trinity,western,6.0,560,95
The Wicked: Reborn,western,6.1,41,91
The Wolf in the Chute,western,9.0,13,91
The forgotten Winchester,western,6.1,41,91
They Call Her Death,western,5.4,207,92
Travesty,western,7.8,10,78
Unnatural,western,3.7,144,103
Vadogga,western,6.1,41,85
Was Once a Hero,western,8.8,64,91
Wynonna Earp: Vengeance,western,5.5,17,96
Zoloto Umalty,western,4.9,114,109
